,season,date,home-team,home-lat,home-long,vis-team,vis-lat,vis-long,intl-flag,intl-lat,intl-long,travel team,distance (miles)
116,2007,2007-10-07,KCC,39.2976,-94.713898,JAX,30.49410057,-81.68789673,0,,,JAX,955.0862017152667
117,2007,2007-12-02,PIT,40.49150085,-80.23290253,CIN,39.04880142,-84.6678009,0,,,CIN,256.1905928613449
118,2007,2007-12-02,NOS,29.99340057,-90.25800323,TBB,27.97550011,-82.53320313,0,,,TBB,487.85681350777134
119,2007,2007-12-02,CHI,41.97859955,-87.90480042,NYG,40.77719879,-73.87259674,0,,,NYG,733.2450305691311
120,2007,2007-12-02,ARZ,33.43429947,-112.012001,CLE,41.4117012,-81.84980011,0,,,CLE,1737.4442978729978
121,2007,2007-12-02,LVR,37.721298,-122.221001,DEN,39.86169815,-104.6729965,0,,,DEN,957.157438739824
122,2007,2007-12-02,MIN,44.88199997,-93.22180176,DET,42.21239853,-83.35340118,0,,,DET,528.2775367565367
123,2007,2007-12-02,MIA,25.79319954,-80.29060364,NYJ,40.77719879,-73.87259674,0,,,NYJ,1096.6013719362302
124,2007,2007-12-02,CAR,35.2140007,-80.94309998,SFF,37.61899948,-122.375,0,,,SFF,2296.1987376578068
125,2007,2007-12-02,PHL,39.87189865,-75.2410965,SEA,47.44900131,-122.3089981,0,,,SEA,2378.214624720349
126,2007,2007-12-02,TEN,36.12450027,-86.67819977,HOU,29.64539909,-95.27890015,0,,,HOU,669.8453801965079
127,2007,2007-12-02,IND,39.7173,-86.294403,JAX,30.49410057,-81.68789673,0,,,JAX,687.0152063081475
128,2007,2007-12-02,WSH,38.8521,-77.037697,BUF,42.94049835,-78.73220062,0,,,BUF,295.72228542763963
129,2007,2007-12-02,KCC,39.2976,-94.713898,LAC,32.73360062,-117.1900024,0,,,LAC,1333.5151955416131
130,2007,2007-12-02,LAR,38.748697,-90.370003,ATL,33.63669968,-84.42810059,0,,,ATL,484.0328091656931
131,2007,2007-11-29,DAL,32.89680099,-97.03800201,GBP,44.48509979,-88.12960052,0,,,GBP,931.8699390619787
132,2007,2007-11-26,PIT,40.49150085,-80.23290253,MIA,25.79319954,-80.29060364,0,,,MIA,1012.9530148211891
133,2007,2007-11-25,NEP,42.36429977,-71.00520325,PHL,39.87189865,-75.2410965,0,,,PHL,280.02020521522047
134,2007,2007-11-25,CHI,41.97859955,-87.90480042,DEN,39.86169815,-104.6729965,0,,,DEN,888.265383459679
135,2007,2007-11-25,LAC,32.73360062,-117.1900024,BAL,39.17539978,-76.66829681,0,,,BAL,2294.9613033652195
136,2007,2007-11-25,ARZ,33.43429947,-112.012001,SFF,37.61899948,-122.375,0,,,SFF,650.8712181012476
137,2007,2007-11-25,NYG,40.77719879,-73.87259674,MIN,44.88199997,-93.22180176,0,,,MIN,1020.2825005021641
138,2007,2007-11-25,CLE,41.4117012,-81.84980011,HOU,29.64539909,-95.27890015,0,,,HOU,1106.7119477112428
139,2007,2007-11-25,CAR,35.2140007,-80.94309998,NOS,29.99340057,-90.25800323,0,,,NOS,651.1231088261729
140,2007,2007-11-25,JAX,30.49410057,-81.68789673,BUF,42.94049835,-78.73220062,0,,,BUF,873.6317501409884
141,2007,2007-11-25,TBB,27.97550011,-82.53320313,WSH,38.8521,-77.037697,0,,,WSH,813.6670417926807
142,2007,2007-11-25,CIN,39.04880142,-84.6678009,TEN,36.12450027,-86.67819977,0,,,TEN,229.86629046672985
143,2007,2007-11-25,LAR,38.748697,-90.370003,SEA,47.44900131,-122.3089981,0,,,SEA,1709.0727968426734
144,2007,2007-11-25,KCC,39.2976,-94.713898,LVR,37.721298,-122.221001,0,,,LVR,1489.0123603593547
145,2007,2007-11-22,ATL,33.63669968,-84.42810059,IND,39.7173,-86.294403,0,,,IND,431.8782980958432
146,2007,2007-11-22,DAL,32.89680099,-97.03800201,NYJ,40.77719879,-73.87259674,0,,,NYJ,1388.807384805278
147,2007,2007-11-22,DET,42.21239853,-83.35340118,GBP,44.48509979,-88.12960052,0,,,GBP,287.1787089519704
148,2007,2007-11-19,DEN,39.86169815,-104.6729965,TEN,36.12450027,-86.67819977,0,,,TEN,1013.4779429489471
149,2007,2007-11-18,BUF,42.94049835,-78.73220062,NEP,42.36429977,-71.00520325,0,,,NEP,395.566628219249
150,2007,2007-11-18,SEA,47.44900131,-122.3089981,CHI,41.97859955,-87.90480042,0,,,CHI,1720.5612875344254
151,2007,2007-11-18,SFF,37.61899948,-122.375,LAR,38.748697,-90.370003,0,,,LAR,1735.2086078180077
152,2007,2007-11-18,DAL,32.89680099,-97.03800201,WSH,38.8521,-77.037697,0,,,WSH,1191.966359372909
153,2007,2007-11-18,NYJ,40.77719879,-73.87259674,PIT,40.49150085,-80.23290253,0,,,PIT,334.8491835917019
154,2007,2007-11-18,MIN,44.88199997,-93.22180176,LVR,37.721298,-122.221001,0,,,LVR,1578.0934313649734
155,2007,2007-11-18,ATL,33.63669968,-84.42810059,TBB,27.97550011,-82.53320313,0,,,TBB,405.92036809576604
156,2007,2007-11-18,JAX,30.49410057,-81.68789673,LAC,32.73360062,-117.1900024,0,,,LAC,2089.171974526167
157,2007,2007-11-18,DET,42.21239853,-83.35340118,NYG,40.77719879,-73.87259674,0,,,NYG,501.51141239541363
158,2007,2007-11-18,PHL,39.87189865,-75.2410965,MIA,25.79319954,-80.29060364,0,,,MIA,1013.20734267301
159,2007,2007-11-18,HOU,29.64539909,-95.27890015,NOS,29.99340057,-90.25800323,0,,,NOS,302.49179133442493
160,2007,2007-11-18,IND,39.7173,-86.294403,KCC,39.2976,-94.713898,0,,,KCC,450.70637734052775
161,2007,2007-11-18,BAL,39.17539978,-76.66829681,CLE,41.4117012,-81.84980011,0,,,CLE,314.1641641719867
162,2007,2007-11-18,CIN,39.04880142,-84.6678009,ARZ,33.43429947,-112.012001,0,,,ARZ,1569.037299350344
163,2007,2007-11-18,GBP,44.48509979,-88.12960052,CAR,35.2140007,-80.94309998,0,,,CAR,744.3866869291785
164,2007,2007-11-12,SEA,47.44900131,-122.3089981,SFF,37.61899948,-122.375,0,,,SFF,678.5177676937133
165,2007,2007-11-11,LAC,32.73360062,-117.1900024,IND,39.7173,-86.294403,0,,,IND,1782.0297278026612
166,2007,2007-11-11,NYG,40.77719879,-73.87259674,DAL,32.89680099,-97.03800201,0,,,DAL,1388.807384805278
167,2007,2007-11-11,ARZ,33.43429947,-112.012001,DET,42.21239853,-83.35340118,0,,,DET,1670.7931169366168
